Season,Episode,Overall Episode,Title,Air Date,Director,Writers,US Viewers (Millions),IMDb Rating,IMDb Votes,Runtime (Minutes),Production Code,Nielsen Rank,Share Percentage,18-49 Demographics,Critics Score,Audience Score,Emmy Nominations,Emmy Wins,Guest Stars,Special Episode,Clip Show,Bottle Episode,Multi-Part,Budget Tier
1,1,1,"The Pilot",1994-09-22,"James Burrows","David Crane, Marta Kauffman",21.5,8.3,37395,22,456651,25,16.0,7.3,75,86,0,0,"Brad Pitt, Julia Roberts, Christina Applegate",Season Premiere,No,No,No,Medium
1,2,2,"The One with the Sonogram at the End",1994-09-29,"James Burrows","David Crane, Marta Kauffman",20.2,8,33854,22,456652,31,17.5,21.3,94,95,0,0,"Bruce Willis, Alec Baldwin",Holiday Special,No,No,No,Medium
1,3,3,"The One with the Thumb",1994-10-06,"James Burrows","Jeffrey Astrof, Mike Sikowitz",19.5,7.8,14308,22,456653,45,16.4,5.4,74,71,2,0,"Bruce Willis, Christina Applegate",Regular,No,No,No,Low
1,4,4,"The One with George Stephanopoulos",1994-10-13,"James Burrows","Alexa Junge",19.7,8.1,26261,22,456654,14,31.2,14.7,75,75,0,0,"None",Regular,No,No,No,Low
1,5,5,"The One with the East German Laundry Detergent",1994-10-20,"Pamela Fryman","Jeff Greenstein, Jeff Strauss",18.6,7.9,59258,22,456655,11,36.3,15.5,95,78,0,0,"None",Regular,No,No,No,Low
1,6,6,"The One with the Butt",1994-10-27,"Arlene Sanford","Adam Chase, Ira Ungerleider",18.2,7.7,40028,22,456656,16,21.9,11.9,65,77,0,0,"Christina Applegate",Regular,No,Yes,No,Medium
1,7,7,"The One with the Blackout",1994-11-03,"James Burrows","Jeffrey Astrof, Mike Sikowitz",23.5,9,52809,22,456657,33,28.2,12.5,80,94,0,0,"Danny DeVito, Reese Witherspoon, Sean Penn",Holiday Special,No,No,Yes,Medium
1,8,8,"The One Where Nana Dies Twice",1994-11-10,"James Burrows","Marta Kauffman, David Crane",21.1,8.2,48166,22,456658,31,17.4,21.1,88,83,0,0,"Alec Baldwin, Danny DeVito, Gary Oldman",Regular,No,Yes,No,Low
1,9,9,"The One Where Underdog Gets Away",1994-11-17,"James Burrows","Jeffrey Astrof, Mike Sikowitz",20.8,8.4,56611,22,456659,20,12.1,13.6,94,71,0,0,"None",Regular,No,No,No,Medium
1,10,10,"The One with the Monkey",1994-12-15,"Peter Bonerz","Adam Chase, Ira Ungerleider",19.9,8.1,59931,22,456660,43,28.7,7.4,62,81,2,0,"None",Regular,No,No,No,Medium
1,11,11,"The One with Ross's New Girlfriend",1995-09-21,"Michael Lembeck","Jeffrey Astrof, Mike Sikowitz",32.1,8.2,49944,22,457276,42,28.1,6.1,81,81,0,0,"None",Regular,No,Yes,No,Medium
1,12,12,"The One with the Princess Leia Fantasy",1996-09-19,"Gail Mancuso","Michael Curtis, Gregory S. Malins",26.8,7.8,24865,22,468201,42,13.3,20.6,91,96,0,0,"None",Regular,No,No,No,Medium
1,13,13,"The One with the Jellyfish",1997-09-25,"Shelley Jensen","Wil Calhoun",29.4,9.1,52054,22,468601,18,39.0,16.1,67,79,0,0,"None",Holiday Special,No,No,No,Medium
1,14,14,"The One After Ross Says Rachel",1998-09-24,"Kevin S. Bright","Seth Kurland",31.1,9,38430,22,467668,45,15.6,16.4,89,86,0,0,"None",Regular,No,No,No,Medium
1,15,15,"The One After Vegas",1999-09-23,"Kevin S. Bright","Adam Chase",27.7,8.4,54333,22,225551,13,16.2,15.1,82,82,0,0,"None",Regular,No,No,No,Medium
1,16,16,"The One with Monica's Thunder",2000-10-12,"Kevin S. Bright","Doty Abrams",26.5,8.5,18545,22,226401,16,28.3,16.1,96,81,0,0,"None",Regular,No,Yes,No,Low
1,17,17,"The One After I Do",2001-09-27,"Kevin S. Bright","David Crane, Marta Kauffman",31.7,8.8,20904,22,227551,23,15.6,8.1,61,81,0,0,"None",Regular,No,Yes,No,Medium
1,18,18,"The One Where No One Proposes",2002-09-26,"Kevin S. Bright","David Crane, Marta Kauffman",34,9.2,43542,22,176251,36,12.1,13.0,90,95,0,0,"None",Regular,No,Yes,Yes,Low
1,19,19,"The One After Joey and Rachel Kiss",2003-09-25,"Kevin S. Bright","David Crane, Marta Kauffman",24.5,8.3,33409,22,176401,12,30.4,11.4,81,80,0,0,"None",Regular,No,No,No,High
1,20,20,"The Last One (Part 1)",2004-05-06,"Kevin S. Bright","Marta Kauffman, David Crane",52.5,9.7,11682,42,176418,24,30.6,19.1,63,95,0,1,"None",Regular,No,No,No,Medium
1,21,21,"The Last One (Part 2)",2004-05-06,"Kevin S. Bright","Marta Kauffman, David Crane",52.5,9.8,48400,42,176419,48,24.4,6.6,94,95,0,0,"None",Regular,No,No,No,Low
1,22,22,"The One with Episode 22",1994-03-29,"Michael Lembeck","Ira Ungerleider",17.9,8.8,12216,22,456672,2,19.9,9.3,63,89,1,0,"None",Regular,No,No,No,High
1,23,23,"The One with Episode 23",1994-03-36,"Kevin S. Bright","Jeff Greenstein, Mike Sikowitz",19.8,7.8,45930,22,456673,29,23.9,6.6,82,92,0,0,"None",Regular,No,No,No,Low
1,24,24,"The One with Episode 24",1994-03-43,"James Burrows","Jeff Strauss, Marta Kauffman",23.4,7.6,54786,42,456674,12,23.4,16.2,78,93,0,0,"None",Season Finale,No,No,No,Medium
2,1,25,"The One with Episode 25",1995-09-22,"James Burrows","Mike Sikowitz",34.6,9.0,25293,22,457651,37,16.1,13.0,82,85,0,0,"None",Season Premiere,No,No,No,Low
2,2,26,"The One with Episode 26",1995-09-29,"Gail Mancuso","Gregory S. Malins",30.0,8.7,42119,22,457652,47,33.1,18.2,77,82,0,0,"Bruce Willis, Danny DeVito",Regular,No,No,No,Medium
2,3,27,"The One with Episode 27",1995-09-36,"Arlene Sanford","Jeff Strauss",30.3,8.5,48977,22,457653,31,14.2,5.8,95,93,3,0,"None",Regular,No,No,No,Low
2,4,28,"The One with Episode 28",1995-09-43,"James Burrows","Adam Chase",33.5,8.1,15925,22,457654,40,35.0,14.9,76,83,0,0,"Christina Applegate, Brad Pitt",Regular,No,No,No,Low
